iter	RMSE
0	0.04903896339
1	0.04841143628
2	0.04790027456
3	0.04748368226
4	0.04701818322
5	0.04650378455
6	0.04605595293
7	0.04544467313
8	0.04496452315
9	0.04442965459
10	0.04403827899
11	0.04356762132
12	0.04309312094
13	0.04253298084
14	0.04204408768
15	0.04164724104
16	0.0412656734
17	0.04090104404
18	0.04055009513
19	0.04012614117
20	0.03966956289
21	0.03911589319
22	0.03872064896
23	0.03836987267
24	0.03798448041
25	0.03764672943
26	0.03714376498
27	0.03677730866
28	0.03643637155
29	0.0360233732
30	0.03565207141
31	0.03529974525
32	0.03496012009
33	0.03461574445
34	0.03433575874
35	0.03404865333
36	0.03364172872
37	0.03337724853
38	0.03311359093
39	0.0328557528
40	0.03248582389
41	0.0321976016
42	0.03188702174
43	0.03162922714
44	0.03132908659
45	0.03098978182
46	0.03075373322
47	0.03049391646
48	0.03024666327
49	0.02991607734
50	0.02960184158
51	0.02934187677
52	0.0290561803
53	0.02880488078
54	0.02857405126
55	0.02831519978
56	0.02808871755
57	0.02767147907
58	0.02743680993
59	0.02716590916
60	0.02692934282
61	0.02663546588
62	0.02631738427
63	0.02609373663
64	0.02584619232
65	0.02558044575
66	0.02530307445
67	0.02509303797
68	0.02484387258
69	0.02462202278
70	0.0244381059
71	0.0241850824
72	0.02395319773
73	0.02374891985
74	0.02355000715
75	0.02331592563
76	0.0230338179
77	0.02285877447
78	0.02264640019
79	0.0224376995
80	0.02224429851
81	0.02203067555
82	0.02183630221
83	0.02163387909
84	0.02141267097
85	0.02120467231
86	0.02101572241
87	0.02083548528
88	0.02066351184
89	0.02043364553
90	0.02028748706
91	0.02013750321
92	0.01992794609
93	0.01976617124
94	0.01961009771
95	0.01941803505
96	0.01926460737
97	0.01907190639
98	0.01886527806
99	0.0186541348
100	0.01851099923
101	0.01835508817
102	0.01820054543
103	0.01803957343
104	0.01789125851
105	0.01772833214
106	0.01762293225
107	0.01749312328
108	0.01733989523
109	0.01718701924
110	0.01705388556
111	0.01692510062
112	0.01677944213
113	0.01662838588
114	0.01646620115
115	0.01630774594
116	0.01614739391
117	0.01603662659
118	0.01589558336
119	0.01577746966
120	0.0156414322
121	0.01549820136
122	0.01537759779
123	0.01526915692
124	0.01516329369
125	0.01502456425
126	0.01490321609
127	0.01479605104
128	0.01468130982
129	0.01457371182
130	0.01446651315
131	0.01433156314
132	0.01424294755
133	0.01412964218
134	0.01403002043
135	0.01394942583
136	0.01382256835
137	0.01371674888
138	0.01362844457
139	0.01353062547
140	0.01343536943
141	0.01331694483
142	0.01322552253
143	0.01313058839
144	0.01303819298
145	0.01295791802
146	0.0128697113
147	0.01277531052
148	0.01265971583
149	0.01256062581
150	0.01246893934
151	0.01236092901
152	0.01226960551
153	0.01219824545
154	0.01210660076
155	0.01203563234
156	0.01193706682
157	0.01186243991
158	0.01177059992
159	0.01168015107
160	0.01158945064
161	0.01152110468
162	0.01144543557
163	0.01137313556
164	0.01130209563
165	0.01121473595
166	0.01114635643
167	0.01107719487
168	0.01101628202
169	0.01092404778
170	0.0108555885
171	0.01077394492
172	0.01071370307
173	0.01064625565
174	0.01057630535
175	0.01049795009
176	0.01043152463
177	0.0103684675
178	0.01031688078
179	0.01024580481
180	0.01016647734
181	0.01009315229
182	0.0100351985
183	0.009952162384
184	0.009892813205
185	0.009832977791
186	0.009777135971
187	0.009725139562
188	0.00967872756
189	0.009625632152
190	0.009559045009
191	0.009500962999
192	0.00944941673
193	0.009386752874
194	0.009331103667
195	0.009275242987
196	0.009218480972
197	0.009154756675
198	0.009095201681
199	0.00905550639
200	0.008989328301
201	0.008941162873
202	0.008892989356
203	0.008849048392
204	0.008809957399
205	0.008762990661
206	0.008716494576
207	0.008658297162
208	0.008612829571
209	0.008559806449
210	0.008517367942
211	0.00847809101
212	0.008429127024
213	0.00839204827
214	0.008344262897
215	0.008309353302
216	0.008268241629
217	0.008228421244
218	0.008188117959
219	0.008141274164
220	0.008097062034
221	0.008055578905
222	0.008015789563
223	0.007973957758
224	0.007927811613
225	0.007888423551
226	0.007852937353
227	0.007816147173
228	0.007776158925
229	0.007721894031
230	0.007680382151
231	0.007650317382
232	0.007611528699
233	0.007564621866
234	0.007528256965
235	0.007496213362
236	0.007459095349
237	0.007427732009
238	0.007385889437
239	0.007346511104
240	0.007306709674
241	0.007262639656
242	0.007223465502
243	0.007197032916
244	0.007166047105
245	0.007137679485
246	0.007108106913
247	0.007074165694
248	0.007036221353
249	0.007011765412
250	0.006985487299
251	0.00695461432
252	0.00692424674
253	0.006897688176
254	0.006873766874
255	0.006843659527
256	0.006818729984
257	0.006792266841
258	0.006755818981
259	0.006729878565
260	0.006703102759
261	0.00668132742
262	0.006656758769
263	0.006634476569
264	0.00660872563
265	0.006580980886
266	0.006550811934
267	0.006519690591
268	0.006496203315
269	0.006473595954
270	0.006454716074
271	0.006425451625
272	0.006401329107
273	0.006382333223
